program name,description,degree,department,img,alt
Cybersecurity,Specialize in securing digital information.,Bachelor's; Master's; Ph.D.,College of Computer Science,/_files/img/program/1.png,students working together on steps looking at a computer screen
Exercise Science,Study human movement and health.,Bachelor's; Master's,College of Health Sciences,/_files/img/program/5.png,student presents report in front of student class.
Business Analytics,Analyze and interpret data for business decisions.,Master's,School of Business,/_files/img/program/2.png,students working together on steps looking at a computer screen
Business Basics,Explore fundamental business concepts and strategies.,Associate's; Bachelor's,School of Business,/_files/img/program/5.png,student friends pose together in between classes.
Environmental Science Explorations,Study the impact of human activities on the environment.,Bachelor's; Master's; Ph.D.,College of Natural Sciences,/_files/img/program/4.png,student friends pose together in between classes.
Data Analytics Certification,Gain skills in data analysis and visualization techniques.,Master's; Ph.D.,School of Mathematics,/_files/img/program/1.png,students working together on steps looking at a computer screen
Culinary Arts Mastery,Develop advanced culinary techniques and creativity.,Associate's; Bachelor's,School of Culinary Arts,/_files/img/program/3.png,student friends pose together in between classes.
Urban Planning Strategies,Examine urban development and design sustainable solutions.,Master's; Ph.D.,School of Architecture,/_files/img/program/5.png,student presents report in front of student class.
Graphic Design Bootcamp,Intensive program covering graphic design principles.,Certificate,School of Fine Arts,/_files/img/program/2.png,student studying on computer in campus mess hall
Computer Science Innovations,Dive into cutting-edge advancements in computer science.,Bachelor's; Master's,College of Computer Science,/_files/img/program/1.png,students working together on steps looking at a computer screen
Early Childhood Education,Learn effective teaching strategies for young learners.,Associate's; Bachelor's,School of Education,/_files/img/program/4.png,students looking at tv presentation in class.
Sustainable Energy Solutions,Explore renewable energy sources and sustainable practices.,Bachelor's; Master's,College of Engineering,/_files/img/program/5.png,student presents report in front of student class.
International Business Diplomacy,Navigate the complexities of global business environments.,Master's; Ph.D.,School of Business,/_files/img/program/3.png,students working together in dorm chairs.
Fashion Design Fundamentals,Master the basics of fashion design and garment creation.,Certificate; Associate's,School of Fine Arts,/_files/img/program/5.png,student friends pose together in between classes.
Healthcare Administration,Develop managerial skills specific to the healthcare field.,Bachelor's; Master's,College of Health Sciences,/_files/img/program/4.png,students looking at tv presentation in class.
Artificial Intelligence Mastery,Delve into the world of artificial intelligence and machine learning.,Master's; Ph.D.,College of Computer Science,/_files/img/program/1.png,students working together on steps looking at a computer screen
Political Science Explorations,Analyze political systems policies and global relations.,Bachelor's; Master's; Ph.D.,College of Liberal Arts,/_files/img/program/4.png,students looking at tv presentation in class.
Creative Writing Workshop,Hone your writing skills through workshops and critiques.,Master's; Ph.D.,College of Liberal Arts,/_files/img/program/1.png,students working together on steps looking at a computer screen
Criminal Justice Investigations,Explore investigative techniques and criminal law procedures.,Associate's; Bachelor's,College of Criminal Justice,/_files/img/program/3.png,students working together in dorm chairs.
